title_supplier,artist,title_norm,author_norm,title_ref,author,author_norm_supplier,author_norm_ref,provider,file
Recomeçar,Tim Bernardes,recomecar,,RECOMEÇAR,T-316.010.042-1,tim bernardes,t-316.010.042-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMEÇAR,,tim bernardes,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Tim Bernardes,talvez,,TALVEZ,T-039.758.808-7,tim bernardes,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Tim Bernardes,talvez,,TALVEZ,T-040.081.810-1,tim bernardes,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,iza,t-315.799.145-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,iza,t-316.180.981-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,iza,t-326.766.166-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sem Filtro,Iza,sem filtro,,SEM FILTRO,T-335.572.263-9,iza,t-335.572.263-9,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sonhos,Jonathan Ferrer,sonhos,,SONHOS,,jonathan ferrer,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Saulo Fernandes,talvez,,TALVEZ,T-039.758.808-7,saulo fernandes,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Saulo Fernandes,talvez,,TALVEZ,T-040.081.810-1,saulo fernandes,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMECAR,T-039.311.437-8,tim bernardes,t-039.311.437-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMEÇAR,T-308.840.890-2,tim bernardes,t-308.840.890-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMEÇAR,T-316.010.042-1,tim bernardes,t-316.010.042-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMEÇAR,,tim bernardes,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Tim Bernardes,talvez,,TALVEZ,T-039.758.808-7,tim bernardes,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Tim Bernardes,talvez,,TALVEZ,T-040.081.810-1,tim bernardes,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,iza,t-315.799.145-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,iza,t-316.180.981-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,iza,t-326.766.166-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sem Filtro,Iza,sem filtro,,SEM FILTRO,T-335.572.263-9,iza,t-335.572.263-9,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
5 Minutos,"Ebony,Larinhx",5 minutos,,5 MINUTOS,T-306.925.953-2,"ebony,larinhx",t-306.925.953-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Saulo Fernandes,talvez,,TALVEZ,T-039.758.808-7,saulo fernandes,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Saulo Fernandes,talvez,,TALVEZ,T-040.081.810-1,saulo fernandes,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Escuta,Malia,escuta,,ESCUTA,T-042.615.527-2,malia,t-042.615.527-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMECAR,T-039.311.437-8,tim bernardes,t-039.311.437-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMEÇAR,T-308.840.890-2,tim bernardes,t-308.840.890-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMEÇAR,T-316.010.042-1,tim bernardes,t-316.010.042-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Recomeçar,Tim Bernardes,recomecar,,RECOMEÇAR,,tim bernardes,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Tim Bernardes,talvez,,TALVEZ,T-039.758.808-7,tim bernardes,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Tim Bernardes,talvez,,TALVEZ,T-040.081.810-1,tim bernardes,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sonhos,Jonathan Ferrer,sonhos,,SONHOS,,jonathan ferrer,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Jogo Da Vida,Potyguara Bardo,jogo da vida,,JOGO DA VIDA,T-306.795.376-4,potyguara bardo,t-306.795.376-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Carolina,Seu Jorge,carolina,,CAROLINA,,seu jorge,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sonhos,Jonathan Ferrer,sonhos,,SONHOS,,jonathan ferrer,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Saulo Fernandes,talvez,,TALVEZ,T-039.758.808-7,saulo fernandes,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Saulo Fernandes,talvez,,TALVEZ,T-040.081.810-1,saulo fernandes,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Estações,Haikaiss,estacoes,,ESTACOES,T-307.587.838-1,haikaiss,t-307.587.838-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Estações,Haikaiss,estacoes,,ESTAÇÕES,T-332.348.889-3,haikaiss,t-332.348.889-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gangorra,Haikaiss,gangorra,,GANGORRA,T-040.511.906-3,haikaiss,t-040.511.906-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gangorra,Haikaiss,gangorra,,GANGORRA,,haikaiss,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Ninguém Ama Os Náufragos,Haikaiss,ninguem ama os naufragos,,NINGUÉM AMA OS NÁUFRAGOS,T-311.596.058-8,haikaiss,t-311.596.058-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Estações,Haikaiss,estacoes,,ESTACOES,T-307.587.838-1,haikaiss,t-307.587.838-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Estações,Haikaiss,estacoes,,ESTAÇÕES,T-332.348.889-3,haikaiss,t-332.348.889-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gangorra,Haikaiss,gangorra,,GANGORRA,T-040.511.906-3,haikaiss,t-040.511.906-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gangorra,Haikaiss,gangorra,,GANGORRA,,haikaiss,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Ninguém Ama Os Náufragos,Haikaiss,ninguem ama os naufragos,,NINGUÉM AMA OS NÁUFRAGOS,T-311.596.058-8,haikaiss,t-311.596.058-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Terremoto,"Gloria Groove,Lia Clark",terremoto,,TERREMOTO,T-307.297.647-3,"gloria groove,lia clark",t-307.297.647-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,T-303.761.712-8,aretuza lovi,t-303.761.712-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,,aretuza lovi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Delírio,Roberta Sá,delirio,,DELIRIO,T-301.566.979-7,roberta sa,t-301.566.979-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Confesso,Ana Gabriela,confesso,,CONFESSO,T-324.068.646-4,ana gabriela,t-324.068.646-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tudo E Mais Um Pouco,Ana Gabriela,tudo e mais um pouco,,TUDO E MAIS UM POUCO,T-040.427.533-7,ana gabriela,t-040.427.533-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Agô,Majur,ago,,AGÔ,,majur,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Colombina,Ed Motta,colombina,,COLOMBINA,T-932.738.152-2,ed motta,t-932.738.152-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fora Da Lei,Ed Motta,fora da lei,,FORA DA LEI,T-931.477.257-1,ed motta,t-931.477.257-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fora Da Lei,Ed Motta,fora da lei,,FORA DA LEI,T-324.241.341-4,ed motta,t-324.241.341-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Delírio,Roberta Sá,delirio,,DELIRIO,T-301.566.979-7,roberta sa,t-301.566.979-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Confesso,Ana Gabriela,confesso,,CONFESSO,T-324.068.646-4,ana gabriela,t-324.068.646-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tudo E Mais Um Pouco,Ana Gabriela,tudo e mais um pouco,,TUDO E MAIS UM POUCO,T-040.427.533-7,ana gabriela,t-040.427.533-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Deja Vu,Day,deja vu,,DÉJÀ VU,T-308.187.765-4,day,t-308.187.765-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Máscara,Day,mascara,,MÁSCARA,,day,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Teto De Vidro,Day,teto de vidro,,TETO DE VIDRO,T-321.537.364-7,day,t-321.537.364-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Desafio,Tom Zé,desafio,,DESAFIO,T-040.453.293-9,tom ze,t-040.453.293-9,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Desafio,Tom Zé,desafio,,DESAFIO,T-312.554.786-2,tom ze,t-312.554.786-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Desafio,Tom Zé,desafio,,DESAFIO,T-040.453.293-9,tom ze,t-040.453.293-9,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Desafio,Tom Zé,desafio,,DESAFIO,T-312.554.786-2,tom ze,t-312.554.786-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sebastiana,Luiz Gonzaga,sebastiana,,SEBASTIANA,,luiz gonzaga,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sebastiana,Luiz Gonzaga,sebastiana,,SEBASTIANA,,luiz gonzaga,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-306.509.964-7,"karol conka,larissa luz",t-306.509.964-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-039.751.632-3,"karol conka,larissa luz",t-039.751.632-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,,"karol conka,larissa luz",nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-305.264.938-0,"karol conka,larissa luz",t-305.264.938-0,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sebastiana,Luiz Gonzaga,sebastiana,,SEBASTIANA,,luiz gonzaga,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sebastiana,Luiz Gonzaga,sebastiana,,SEBASTIANA,,luiz gonzaga,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-306.509.964-7,"karol conka,larissa luz",t-306.509.964-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-039.751.632-3,"karol conka,larissa luz",t-039.751.632-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,,"karol conka,larissa luz",nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-305.264.938-0,"karol conka,larissa luz",t-305.264.938-0,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-306.509.964-7,"karol conka,larissa luz",t-306.509.964-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-039.751.632-3,"karol conka,larissa luz",t-039.751.632-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,,"karol conka,larissa luz",nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Saudade,"Karol Conká,Larissa Luz",saudade,,SAUDADE,T-305.264.938-0,"karol conka,larissa luz",t-305.264.938-0,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
O Vento,Los Hermanos,o vento,,O VENTO,T-039.311.309-1,los hermanos,t-039.311.309-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Feliz,Gonzaguinha,feliz,,FELIZ,T-042.032.139-6,gonzaguinha,t-042.032.139-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Feliz,Gonzaguinha,feliz,,FELIZ,T-042.032.139-6,gonzaguinha,t-042.032.139-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Modern Love,David Bowie,modern love,,MODERN LOVE,T-306.926.955-8,david bowie,t-306.926.955-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Modern Love,David Bowie,modern love,,MODERN LOVE,T-040.081.807-6,david bowie,t-040.081.807-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sugar,Maroon 5,sugar,,SUGAR,T-039.948.077-3,maroon 5,t-039.948.077-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vencedor,Calcinha Preta,vencedor,,VENCEDOR,T-313.263.562-8,calcinha preta,t-313.263.562-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Baile De Favela,Mc João,baile de favela,,BAILE DE FAVELA,T-303.383.693-6,mc joao,t-303.383.693-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Mulher Rendeira,Daniela Mercury,mulher rendeira,,MULHER RENDEIRA,T-039.167.658-6,daniela mercury,t-039.167.658-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Nobre Vagabundo,"Banda Lady Night,Daniela Mercury",nobre vagabundo,,NOBRE VAGABUNDO,T-300.975.560-2,"banda lady night,daniela mercury",t-300.975.560-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gratidão,L7nnon,gratidao,,GRATIDÃO,T-305.217.523-8,l7nnon,t-305.217.523-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-315.799.145-8,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-315.799.145-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-316.180.981-6,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-316.180.981-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-326.766.166-1,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-326.766.166-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
O Corre,"Jup Do Bairro,Pabllo Vittar",o corre,,O CORRE,T-930.846.233-1,"jup do bairro,pabllo vittar",t-930.846.233-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Rajadão,Pabllo Vittar,rajadao,,RAJADÃO,T-306.926.960-5,pabllo vittar,t-306.926.960-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Mulher Rendeira,Daniela Mercury,mulher rendeira,,MULHER RENDEIRA,T-039.167.658-6,daniela mercury,t-039.167.658-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Nobre Vagabundo,"Banda Lady Night,Daniela Mercury",nobre vagabundo,,NOBRE VAGABUNDO,T-300.975.560-2,"banda lady night,daniela mercury",t-300.975.560-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gratidão,L7nnon,gratidao,,GRATIDÃO,T-305.217.523-8,l7nnon,t-305.217.523-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Barbie,Rebecca,barbie,,BARBIE,T-321.330.288-2,rebecca,t-321.330.288-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gratidão,L7nnon,gratidao,,GRATIDÃO,T-305.217.523-8,l7nnon,t-305.217.523-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Maria,Ricky Martin,maria,,MARIA,T-307.006.304-2,ricky martin,t-307.006.304-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Maria,Ricky Martin,maria,,MARIA,T-311.953.638-4,ricky martin,t-311.953.638-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Na Ponta Do Pé,Inspirasom,na ponta do pe,,NA PONTA DO PE,T-305.264.223-2,inspirasom,t-305.264.223-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gratidão,L7nnon,gratidao,,GRATIDÃO,T-305.217.523-8,l7nnon,t-305.217.523-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Até O Céu,"Anitta,Mc Cabelinho",ate o ceu,,ATÉ O CÉU,T-333.819.469-3,"anitta,mc cabelinho",t-333.819.469-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-315.799.145-8,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-315.799.145-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-316.180.981-6,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-316.180.981-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-326.766.166-1,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-326.766.166-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Na Ponta Do Pé,Inspirasom,na ponta do pe,,NA PONTA DO PE,T-305.264.223-2,inspirasom,t-305.264.223-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Até O Céu,"Anitta,Mc Cabelinho",ate o ceu,,ATÉ O CÉU,T-333.819.469-3,"anitta,mc cabelinho",t-333.819.469-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-315.799.145-8,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-315.799.145-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-316.180.981-6,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-316.180.981-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-326.766.166-1,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-326.766.166-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Beijinho No Ombro,"Andy Gercker,Valesca Popozuda",beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,"andy gercker,valesca popozuda",t-311.569.064-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Beijinho No Ombro,Valesca Popozuda,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,valesca popozuda,t-311.569.064-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sentadinha,Léo Santana,sentadinha,,SENTADINHA,T-306.792.989-5,leo santana,t-306.792.989-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sentadinha,Léo Santana,sentadinha,,SENTADINHA,T-308.506.890-8,leo santana,t-308.506.890-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Baile De Favela,Mc João,baile de favela,,BAILE DE FAVELA,T-303.383.693-6,mc joao,t-303.383.693-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Amanhecer,Bk,amanhecer,,AMANHECER,T-040.285.612-5,bk,t-040.285.612-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Penumbra,"Djonga,Rapaz Do Dread,Sarah Guedes",penumbra,,PENUMBRA,T-040.011.904-1,"djonga,rapaz do dread,sarah guedes",t-040.011.904-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Amanhã,"Reginaldo Rossi,Roberta Miranda",amanha,,AMANHÃ,T-307.004.953-1,"reginaldo rossi,roberta miranda",t-307.004.953-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Amanhecer,Bk,amanhecer,,AMANHECER,T-040.285.612-5,bk,t-040.285.612-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Amanhecer,Bk,amanhecer,,AMANHECER,T-040.285.612-5,bk,t-040.285.612-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Penumbra,"Djonga,Rapaz Do Dread,Sarah Guedes",penumbra,,PENUMBRA,T-040.011.904-1,"djonga,rapaz do dread,sarah guedes",t-040.011.904-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sentadinha,Léo Santana,sentadinha,,SENTADINHA,T-306.792.989-5,leo santana,t-306.792.989-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sentadinha,Léo Santana,sentadinha,,SENTADINHA,T-308.506.890-8,leo santana,t-308.506.890-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tudo Ok,"Js Mão De Ouro,Mila,Thiaguinho Mt",tudo ok,,TUDO OK,T-040.059.792-3,"js mao de ouro,mila,thiaguinho mt",t-040.059.792-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Socadona,Elenco O Dono Do Lar,socadona,,SOCADONA,T-305.217.548-7,elenco o dono do lar,t-305.217.548-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Socadona,Elenco O Dono Do Lar,socadona,,SOCADONA,,elenco o dono do lar,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Amanhecer,Bk,amanhecer,,AMANHECER,T-040.285.612-5,bk,t-040.285.612-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Amanhecer,Bk,amanhecer,,AMANHECER,T-040.285.612-5,bk,t-040.285.612-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Penumbra,"Djonga,Rapaz Do Dread,Sarah Guedes",penumbra,,PENUMBRA,T-040.011.904-1,"djonga,rapaz do dread,sarah guedes",t-040.011.904-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Socadona,Elenco O Dono Do Lar,socadona,,SOCADONA,T-305.217.548-7,elenco o dono do lar,t-305.217.548-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Socadona,Elenco O Dono Do Lar,socadona,,SOCADONA,,elenco o dono do lar,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
